ダウンロードした時刻：2021/03/15 13:09:52

,東京,東京,東京,札幌,札幌,札幌
年月日,最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃),最高気温(℃)
,,,,,,
,,品質情報,均質番号,,品質情報,均質番号
2020/4/1,12.9,8,1,15.9,8,1
2020/4/2,19.4,8,1,10.1,8,1
2020/4/3,18.2,8,1,11.9,8,1
2020/4/4,22.3,8,1,15.0,8,1
2020/4/5,15.9,8,1,8.4,8,1
2020/4/6,18.4,8,1,8.9,8,1
2020/4/7,18.0,8,1,7.0,8,1
2020/4/8,20.2,8,1,11.8,8,1
2020/4/9,20.2,8,1,8.0,8,1
2020/4/10,17.2,8,1,6.2,8,1
2020/4/11,17.0,8,1,7.9,8,1
2020/4/12,14.6,8,1,7.3,8,1
2020/4/13,10.1,8,1,11.4,8,1
2020/4/14,17.2,8,1,9.2,8,1
2020/4/15,20.8,8,1,9.0,8,1
2020/4/16,16.3,8,1,8.1,8,1
2020/4/17,17.8,8,1,13.9,8,1
2020/4/18,16.2,8,1,12.6,8,1
2020/4/19,22.5,8,1,17.2,8,1
2020/4/20,10.7,8,1,10.3,8,1
2020/4/21,18.9,8,1,14.0,8,1
2020/4/22,19.2,8,1,10.2,8,1
2020/4/23,17.0,8,1,9.0,8,1
2020/4/24,18.4,8,1,9.4,8,1
2020/4/25,18.8,8,1,11.1,8,1
2020/4/26,24.2,8,1,10.7,8,1
2020/4/27,17.8,8,1,10.2,8,1
2020/4/28,19.1,8,1,14.9,8,1
2020/4/29,21.7,8,1,12.9,8,1
2020/4/30,23.9,8,1,20.9,8,1
